timetableStop_id;station;eva;target;trainCategory;trainNumber;departingLine;plannedDeparture;changedDepartureTime;cancellationTime;eventStatus;departure_delay;operator;Verbindung;week_number
8322424274180843926-2411051928-7;Mainz Hbf;8000240;Köln Hbf;ICE;510;;2024-11-05 23:21:00;2024-11-05 23:30:00;;;9;DB Fernverkehr AG;Mainz Hbf-Köln Hbf;44
9011011619156863439-2411070927-6;Mannheim Hbf;8000244;Köln Hbf;ICE;610;;2024-11-07 12:31:00;2024-11-07 12:41:00;;;10;DB Fernverkehr AG;Mannheim Hbf-Köln Hbf;44
67517114520381301-2410280532-6;Mannheim Hbf;8000244;Köln Hbf;ICE;614;;2024-10-28 08:31:00;2024-10-28 08:38:00;;;7;DB Fernverkehr AG;Mannheim Hbf-Köln Hbf;43
1658752204082531365-2410280724-18;Mannheim Hbf;8000244;Germersheim;S;38318;3;2024-10-28 08:31:00;2024-10-28 08:45:00;;;14;DB Regio AG;S3;43
-9076044575966614071-2410280137-14;Mannheim Hbf;8000244;München Hbf;ICE;591;;2024-10-28 08:30:00;2024-10-28 08:42:00;;;12;DB Fernverkehr AG;Mannheim Hbf-München Hbf;43
-5389749366860821307-2410300739-1;Mannheim Hbf;8000244;Koblenz Hbf;RE;4113;1;2024-10-30 07:39:00;2024-10-30 07:46:00;;;7;DB Regio AG;RE1;43
4242976388723420231-2410300733-1;Mannheim Hbf;8000244;Frankfurt(Main)Hbf;RE;15306;60;2024-10-30 07:33:00;2024-10-30 07:46:00;;;13;DB Regio AG;RE60;43
84549031086965231-2410300534-31;Mannheim Hbf;8000244;Homburg(Saar)Hbf;S;38110;1;2024-10-30 07:20:00;2024-10-30 07:58:00;;;38;DB Regio AG;S1;43
709983469801654561-2411011254-1;Frankfurt(Main)Hbf;8000105;Hamburg-Altona;ICE;1910;;2024-11-01 12:54:00;2024-11-01 13:11:00;;;17;DB Fernverkehr AG;Frankfurt(Main)Hbf-Hamburg-Altona;43
-2018983246501305667-2411011053-6;Frankfurt(Main)Hbf;8000105;München Hbf;ICE;625;;2024-11-01 12:53:00;2024-11-01 13:09:00;;;16;DB Fernverkehr AG;Frankfurt(Main)Hbf-München Hbf;43
-5632453174521695061-2411010817-11;Frankfurt(Main)Hbf;8000105;Stuttgart Hbf;ICE;575;;2024-11-01 12:52:00;2024-11-01 13:13:00;;;21;DB Fernverkehr AG;Frankfurt(Main)Hbf-Stuttgart Hbf;43
