timetableStop_id;station;eva;start;plannedArrivalPath;trainCategory;trainNumber;arrivingLine;plannedArrival;changedArrivalTime;cancellationTime;eventStatus;arrival_delay;operator;Verbindung;week_number
4064511848250356169-2411041336-32;Mannheim Hbf;8000244;Osterburken;Osterburken|Adelsheim Nord|Zimmern(b Seckach)|Seckach|Eicholzheim|Oberschefflenz|Auerbach(b Mosbach, Baden)|Dallau|Neckarburken|Mosbach(Baden)|Mosbach West|Mosbach-Neckarelz|Binau|Neckargerach|Zwingenberg(Baden)|Lindach|Eberbach|Hirschhorn(Neckar)|Neckarhausen bei Neckarsteinach|Neckarsteinach|Neckargemünd Altstadt|Neckargemünd|Heidelberg Orthopädie|Heidelberg-Schlierbach/Ziegelhausen|Heidelberg-Altstadt|Heidelberg-Weststadt/Südstadt|Heidelberg Hbf|Heidelberg-Pfaffengrund/Wieblingen|Mannheim-Friedrichsfeld Süd|Mannheim-Seckenheim|Mannheim ARENA/Maimarkt;S;38132;1;2024-11-04 15:20:00;2024-11-04 15:53:00;;;33;DB Regio AG;S1;44
8603241313343587137-2410291417-13;Mannheim Hbf;8000244;Berlin Ostbahnhof;Berlin Ostbahnhof|Berlin Hbf|Berlin-Spandau|Wolfsburg Hbf|Braunschweig Hbf|Hildesheim Hbf|Göttingen|Kassel-Wilhelmshöhe|Fulda|Hanau Hbf|Frankfurt(Main)Hbf|Darmstadt Hbf;ICE;771;;2024-10-29 19:53:00;2024-10-29 19:55:00;;;2;DB Fernverkehr AG;Berlin Ostbahnhof-Mannheim Hbf;43
-9170319321262747816-2410291713-7;Mannheim Hbf;8000244;Basel SBB;Basel SBB|Basel Bad Bf|Freiburg(Breisgau) Hbf|Offenburg|Baden-Baden|Karlsruhe Hbf;ICE;102;;2024-10-29 19:24:00;2024-10-29 19:26:00;;;2;DB Fernverkehr AG;Basel SBB-Mannheim Hbf;43
5089820149948252230-2410291646-6;Mannheim Hbf;8000244;München Hbf;München Hbf|München-Pasing|Augsburg Hbf|Ulm Hbf|Stuttgart Hbf;ICE;592;;2024-10-29 19:28:00;2024-10-29 19:32:00;;;4;DB Fernverkehr AG;München Hbf-Mannheim Hbf;43
6417829408972045920-2410291754-23;Mannheim Hbf;8000244;Homburg(Saar)Hbf;Homburg(Saar)Hbf|Bruchmühlbach-Miesau|Hauptstuhl|Landstuhl|Kindsbach|Einsiedlerhof|Vogelweh|Kennelgarten|Kaiserslautern Hbf|Hochspeyer|Frankenstein(Pfalz)|Weidenthal|Neidenfels|Lambrecht(Pfalz)|Neustadt(Weinstr)Hbf|Neustadt-Böbig|Haßloch(Pfalz)|Böhl-Iggelheim|Schifferstadt|Limburgerhof|Ludwigshafen(Rh)Hbf|Ludwigshafen(Rhein) Mitte;S;38139;1;2024-10-29 19:35:00;2024-10-29 19:42:00;;;7;DB Regio AG;S1;43
1672939722005276167-2410291506-23;Mannheim Hbf;8000244;Koblenz Hbf;Koblenz Hbf|Kobern-Gondorf|Treis-Karden|Cochem(Mosel)|Bullay(DB)|Wittlich Hbf|Schweich(DB)|Trier Hbf|Konz|Saarburg(Bz Trier)|Mettlach|Merzig(Saar)|Dillingen(Saar)|Saarlouis Hbf|Völklingen|Saarbrücken Hbf|St Ingbert|Homburg(Saar)Hbf|Landstuhl|Kaiserslautern Hbf|Neustadt(Weinstr)Hbf|Ludwigshafen(Rhein) Mitte;RE;4118;1;2024-10-29 19:21:00;2024-10-29 19:35:00;;;14;DB Regio AG;RE1;43
-5225001961092188822-2410261348-13;Mannheim Hbf;8000244;Meckesheim;Meckesheim|Mauer(b Heidelberg)|Reilsheim|Bammental|Neckargemünd|Heidelberg Orthopädie|Heidelberg-Schlierbach/Ziegelhausen|Heidelberg-Altstadt|Heidelberg-Weststadt/Südstadt|Heidelberg Hbf|Heidelberg-Pfaffengrund/Wieblingen|Neu-Edingen/Friedrichsfeld;S;38038;5;2024-10-26 14:56:00;2024-10-26 14:56:00;2024-10-26 14:09:00;c;0;DB Regio AG;S5;42
6795702178536664182-2410261312-18;Mannheim Hbf;8000244;Wiesbaden Hbf;Wiesbaden Hbf|Mainz Hbf|Mainz Römisches Theater|Bodenheim|Nackenheim|Nierstein|Oppenheim|Dienheim|Guntersblum|Osthofen|Worms Hbf|Bobenheim|Frankenthal Hbf|Frankenthal Süd|Ludwigshafen-Oggersheim|Ludwigshafen(Rh)Hbf|Ludwigshafen(Rhein) Mitte;S;38619;6;2024-10-26 14:41:00;2024-10-26 15:16:00;2024-10-26 14:17:00;c;35;DB Regio AG;S6;42
-4809222427286728266-2411062341-9;Mainz Hbf;8000240;Bad Kreuznach;Bad Kreuznach|Gensingen-Horrweiler|Ockenheim|Gau Algesheim|Ingelheim|Heidesheim(Rheinhess)|Uhlerborn|Budenheim;RB;29589;33;2024-11-07 00:19:00;2024-11-07 00:27:00;;;8;DB Regio AG;RB33;44
6195485783263057734-2411041828-6;Mannheim Hbf;8000244;München Hbf;München Hbf|München-Pasing|Augsburg Hbf|Ulm Hbf|Stuttgart Hbf;ICE;910;;2024-11-04 21:15:00;2024-11-04 21:17:00;;;2;DB Fernverkehr AG;München Hbf-Mannheim Hbf;44
